source_path,label,sample_index,f00,f01,f02,f03,f04,f05,f06,f07,f08,f09,f10,f11,f12,f13,f14,f15,f16,f17,f18
D:\Lenovo\certora\data\proctoring\raw\self_collection_v1\02_screen_gaze\videos\bottom_center_non_text.mp4,bottom_center_non_text,0,-0.008730530738830566,0.038542330265045166,-0.03633224964141846,-0.011579200625419617,-0.0071111321449279785,0.015022605657577515,-0.006235599517822266,0.00358504056930542,0.02082577347755432,0.0037590395659208298,0.0043935030698776245,0.01220540702342987,0.02125820517539978,-0.0172407329082489,-0.009345166385173798,-0.004468068480491638,0.029826078563928604,0.01220540702342987,0.01297207921743393
D:\Lenovo\certora\data\proctoring\raw\self_collection_v1\02_screen_gaze\videos\bottom_center_non_text.mp4,bottom_center_non_text,1,-0.012181878089904785,0.05456274747848511,-0.03866508603096008,-0.022166520357131958,-0.013073578476905823,0.01489374041557312,-0.013019382953643799,-0.025967717170715332,-0.0002696514129638672,-0.011482254602015018,0.0009371787309646606,-0.0131186842918396,0.02791312336921692,-0.025698065757751465,-0.01762004941701889,-0.009092941880226135,0.02800273895263672,0.0131186842918396,0.013152116909623146
D:\Lenovo\certora\data\proctoring\raw\self_collection_v1\02_screen_gaze\videos\bottom_center_non_text.mp4,bottom_center_non_text,2,-0.019063055515289307,0.04899722337722778,-0.040326833724975586,-0.023308873176574707,-0.015140175819396973,0.014995485544204712,-0.009694874286651611,-0.03107437491416931,-0.008135676383972168,-0.007411709055304527,0.0026503056287765503,-0.01960502564907074,0.024690359830856323,-0.022938698530197144,-0.01922452449798584,-0.008168697357177734,0.03087908960878849,0.01960502564907074,0.01978335529565811
D:\Lenovo\certora\data\proctoring\raw\self_collection_v1\02_screen_gaze\videos\bottom_center_non_text.mp4,bottom_center_non_text,3,-0.01299738883972168,0.047502338886260986,-0.03738167881965637,-0.038523271679878235,-0.02563561499118805,0.01832178235054016,-0.012357831001281738,-0.010407119989395142,0.02129402756690979,-0.007032113149762154,0.0029819756746292114,0.005443453788757324,0.0306796133518219,-0.03170114755630493,-0.03207944333553314,-0.012887656688690186,0.029149150475859642,0.005443453788757324,0.006206719670444727
D:\Lenovo\certora\data\proctoring\raw\self_collection_v1\02_screen_gaze\videos\bottom_center_non_text.mp4,bottom_center_non_text,4,-0.014125704765319824,0.039559006690979004,-0.03376248478889465,-0.02094469964504242,-0.01497022807598114,0.036314427852630615,0.010469019412994385,-0.02754613757133484,-0.0019559264183044434,-0.003594236448407173,0.0233917236328125,-0.014751031994819641,0.02584540843963623,-0.025590211153030396,-0.01795746386051178,-0.005974471569061279,0.04702546447515488,0.014751031994819641,0.02765439637005329
D:\Lenovo\certora\data\proctoring\raw\self_collection_v1\02_screen_gaze\videos\bottom_center_non_text.mp4,bottom_center_non_text,5,-0.021282851696014404,0.04178321361541748,-0.03794825077056885,-0.027096346020698547,-0.014864742755889893,-0.0067629218101501465,-0.01056283712387085,-0.031016290187835693,-0.011063635349273682,-0.011914496310055256,-0.008662879467010498,-0.021039962768554688,0.003799915313720703,-0.01995265483856201,-0.02098054438829422,-0.012231603264808655,0.03522665426135063,0.021039962768554688,0.022753583267331123
D:\Lenovo\certora\data\proctoring\raw\self_collection_v1\02_screen_gaze\videos\bottom_center_non_text.mp4,bottom_center_non_text,6,-0.010454177856445312,0.05010277032852173,-0.03412976861000061,-0.02564828097820282,-0.014810070395469666,0.008081316947937012,-0.009792149066925049,-0.012233227491378784,0.012760728597640991,-0.009543095715343952,-0.0008554160594940186,0.0002637505531311035,0.01787346601486206,-0.024993956089019775,-0.020229175686836243,-0.010838210582733154,0.024746254086494446,0.0002637505531311035,0.0008951541967689991
D:\Lenovo\certora\data\proctoring\raw\self_collection_v1\02_screen_gaze\videos\bottom_center_non_text.mp4,bottom_center_non_text,7,-0.017346203327178955,0.04309612512588501,-0.03482687473297119,-0.02629511058330536,-0.01824025809764862,0.030951738357543945,0.0057991743087768555,-0.03715643286705017,-0.010164320468902588,-0.007202195003628731,0.0183754563331604,-0.02366037666797638,0.02515256404876709,-0.026992112398147583,-0.02226768434047699,-0.008054852485656738,0.042754270136356354,0.02366037666797638,0.029957817867398262
D:\Lenovo\certora\data\proctoring\raw\self_collection_v1\02_screen_gaze\videos\bottom_center_non_text.mp4,bottom_center_non_text,8,-0.012068748474121094,0.040538132190704346,-0.032902270555496216,-0.021618202328681946,-0.013917192816734314,0.02100697159767151,-0.015349268913269043,-0.018864572048187256,0.009427189826965332,0.007121078670024872,0.002828851342201233,-0.004718691110610962,0.03635624051094055,-0.028291761875152588,-0.01776769757270813,-0.007701009511947632,0.025860439985990524,0.004718691110610962,0.005501676816493273
D:\Lenovo\certora\data\proctoring\raw\self_collection_v1\02_screen_gaze\videos\bottom_center_non_text.mp4,bottom_center_non_text,9,-0.018131256103515625,0.03799295425415039,-0.031950145959854126,-0.019389018416404724,-0.011031776666641235,-0.0021983981132507324,-0.019672393798828125,-0.01499149203300476,0.00808677077293396,-0.011598391458392143,-0.010935395956039429,-0.0034523606300354004,0.017473995685577393,-0.02307826280593872,-0.01521039754152298,-0.008357241749763489,0.0333004966378212,0.0034523606300354004,0.01146741770207882
