source_path,label,is_on_screen,sample_index,f00,f01,f02,f03,f04,f05,f06,f07,f08,f09,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35
D:\Lenovo\certora\data\proctoring\raw\self_collection_v2\05_head_eye_decoupling\head_down_eyes_offscreen_down\images\WIN_20260709_22_07_40_Pro.jpg,offscreen_down,0,0,1.1747019290924072,1.1687067747116089,0.49405714869499207,0.18935586512088776,0.1722162365913391,0.5773626565933228,0.6679680347442627,0.4039880931377411,0.4288628399372101,0.0333055704832077,-0.0025583032984286547,0.27779635787010193,0.012236861512064934,0.12266533076763153,-0.08357453346252441,0.09060536324977875,0.024874728173017502,0.12074660509824753,0.06921346485614777,-0.0003138151369057596,-0.023216700181365013,0.12074660509824753,0.06921346485614777,0.18078605830669403,0.017139626666903496,0.07736265659332275,0.1679680198431015,0.27807751297950745,0.14843007922172546,0.13917702436447144,-0.0007798969745635986,0.13907165825366974,0.1261388063430786,0.0397304892539978,0.12522363662719727,0.36137089133262634
D:\Lenovo\certora\data\proctoring\raw\self_collection_v2\05_head_eye_decoupling\head_down_eyes_offscreen_down\images\WIN_20260709_22_07_44_Pro.jpg,offscreen_down,0,0,1.1563189029693604,1.2109745740890503,0.4678335189819336,0.1826188862323761,0.1869286298751831,0.5321632623672485,0.6560747027397156,0.34834781289100647,0.36030715703964233,0.014536735601723194,0.023087864741683006,0.2908158004283905,-0.030353844165802002,0.09411896020174026,-0.1456725150346756,0.12391145527362823,0.011959348805248737,0.11143486201763153,0.01427617110311985,0.002173005836084485,-0.04236387088894844,0.11143486201763153,0.01427617110311985,0.1847737580537796,-0.004309742711484432,0.032163236290216446,0.15607468783855438,0.2933056950569153,0.1734325885772705,0.1123456135392189,-0.0042990148067474365,0.14343416690826416,0.1306172013282776,0.037940770387649536,0.11720682680606842,0.4364883303642273
D:\Lenovo\certora\data\proctoring\raw\self_collection_v2\05_head_eye_decoupling\head_down_eyes_offscreen_down\images\WIN_20260709_22_07_47_Pro.jpg,offscreen_down,0,0,1.1763942241668701,1.1996067762374878,0.4961056709289551,0.1747170239686966,0.18196497857570648,0.27937546372413635,0.35696786642074585,0.3799745440483093,0.4144536554813385,0.016491837799549103,0.009769595228135586,0.25831297039985657,-0.021978041157126427,-0.1818283200263977,-0.10278589278459549,0.0775924101471901,0.034479107707738876,-0.17450112104415894,0.03928624466061592,-0.0017763891955837607,-0.026550929993391037,0.17450112104415894,0.03928624466061592,0.17834100127220154,-0.007247947622090578,-0.22062453627586365,-0.14303211867809296,0.25943028926849365,0.20886953175067902,0.17886881530284882,-0.0004927217960357666,0.13638873398303986,0.13696616888046265,0.043469369411468506,0.19159792363643646,0.36109888553619385
D:\Lenovo\certora\data\proctoring\raw\self_collection_v2\05_head_eye_decoupling\head_down_eyes_offscreen_down\images\WIN_20260709_22_07_48_Pro.jpg,offscreen_down,0,0,1.2050458192825317,1.22756826877594,0.4889015555381775,0.19011327624320984,0.20336665213108063,0.3184269666671753,0.46101051568984985,0.3060690760612488,0.32953590154647827,0.016200648620724678,0.009258548729121685,0.2776731550693512,-0.014699668623507023,-0.11028125882148743,-0.18219751119613647,0.14258354902267456,0.023466812446713448,-0.1033373475074768,-0.029477277770638466,-0.0010210444452241063,-0.0505913607776165,0.1033373475074768,0.029477277770638466,0.19673997163772583,-0.01325337402522564,-0.1815730333328247,-0.03898949176073074,0.27821606397628784,0.2129739224910736,0.10745937377214432,-0.0014530420303344727,0.1451813131570816,0.14002132415771484,0.04150548577308655,0.11953981220722198,0.45987066626548767
D:\Lenovo\certora\data\proctoring\raw\self_collection_v2\05_head_eye_decoupling\head_down_eyes_offscreen_down\images\WIN_20260709_22_07_50_Pro.jpg,offscreen_down,0,0,1.1697951555252075,1.2032170295715332,0.4873978793621063,0.2306978553533554,0.22896650433540344,0.46451056003570557,0.5902808308601379,0.3776950240135193,0.3924342095851898,0.012928458862006664,0.014084184542298317,0.27234068512916565,-0.025150930508971214,0.02739568240940571,-0.11493538320064545,0.12577024102210999,0.014739184640347958,0.03795882314443588,0.03485199064016342,0.00038584586582146585,-0.031301580369472504,0.03795882314443588,0.03485199064016342,0.22983218729496002,0.0017313440330326557,-0.035489439964294434,0.09028080850839615,0.27386197447776794,0.11815525591373444,0.051531869918107986,-0.0017062276601791382,0.14573700726032257,0.1371910572052002,0.042958229780197144,0.041479866951704025,0.3872760534286499
D:\Lenovo\certora\data\proctoring\raw\self_collection_v2\05_head_eye_decoupling\head_down_eyes_offscreen_down\images\WIN_20260709_22_07_51_Pro.jpg,offscreen_down,0,0,1.1556822061538696,1.195088505744934,0.4939766526222229,0.23119351267814636,0.227774977684021,0.5411359667778015,0.6434032320976257,0.4088198244571686,0.3981611728668213,0.008048148825764656,0.016763174906373024,0.26076751947402954,-0.03789137303829193,0.09226960688829422,-0.09650950133800507,0.1022673025727272,0.01065863762050867,0.10484199225902557,0.04691264033317566,0.001546731567941606,-0.025166545063257217,0.10484199225902557,0.04691264033317566,0.22948424518108368,0.0034185403492301702,0.04113595932722092,0.14340326189994812,0.2640387713909149,0.13352064788341522,0.1148592159152031,-0.0008164793252944946,0.14431773126125336,0.13879692554473877,0.04538244009017944,0.10903278738260269,0.3572770357131958
D:\Lenovo\certora\data\proctoring\raw\self_collection_v2\05_head_eye_decoupling\head_down_eyes_offscreen_down\images\WIN_20260709_22_07_53_Pro.jpg,offscreen_down,0,0,1.008773684501648,1.0799732208251953,0.4781612157821655,0.07044150680303574,0.0543445385992527,0.5515648126602173,0.562754213809967,0.1896086484193802,0.11488688737154007,0.013503775000572205,0.034087181091308594,0.20720408856868744,-0.057362429797649384,0.057159509509801865,-0.34775224328041077,0.011189389042556286,0.07472176104784012,0.08272489905357361,-0.23378998041152954,0.0019484066870063543,-0.07205568253993988,0.08272489905357361,0.23378998041152954,0.06239302456378937,0.016096968203783035,0.051564816385507584,0.06275420635938644,0.2176830768585205,0.35241854190826416,0.24799427390098572,-0.0028963685035705566,0.12186223268508911,0.1488734483718872,0.05045327544212341,0.09124669432640076,0.554956316947937
D:\Lenovo\certora\data\proctoring\raw\self_collection_v2\05_head_eye_decoupling\head_down_eyes_offscreen_down\images\WIN_20260709_22_07_54_Pro.jpg,offscreen_down,0,0,1.0571144819259644,1.1118252277374268,0.47905293107032776,0.03587939590215683,0.021833330392837524,0.5309179425239563,0.4811323583126068,-0.001788008026778698,-0.2925941050052643,0.008820242248475552,0.02522462047636509,0.22734901309013367,-0.03992627188563347,0.00602514436468482,-0.647191047668457,0.04978557303547859,0.2908061146736145,0.024943610653281212,-0.5221490859985352,0.00015198197797872126,-0.14713825285434723,0.024943610653281212,0.5221490859985352,0.028856363147497177,0.014046065509319305,0.030917931348085403,-0.01886764168739319,0.2322024255990982,0.6472191214561462,0.5227445363998413,-0.002706959843635559,0.12448027729988098,0.14562451839447021,0.04666215181350708,0.031249765306711197,0.8745400905609131
D:\Lenovo\certora\data\proctoring\raw\self_collection_v2\05_head_eye_decoupling\head_down_eyes_offscreen_down\images\WIN_20260709_22_07_57_Pro.jpg,offscreen_down,0,0,1.0642629861831665,1.3732579946517944,0.30593520402908325,0.07807429134845734,0.06853525340557098,0.4393855631351471,0.43552103638648987,0.2828110456466675,0.3452572524547577,0.01668545790016651,0.1267661154270172,0.22869856655597687,-0.17098359763622284,-0.06254669278860092,-0.18596585094928741,0.003864539787173271,0.062446217983961105,0.03252789378166199,-0.060181643813848495,-0.007928801700472832,-0.0425301268696785,0.03252789378166199,0.060181643813848495,0.07330477237701416,0.009539038874208927,-0.06061442568898201,-0.06447896361351013,0.31242290139198303,0.19620241224765778,0.0684097483754158,-0.02077566087245941,0.12012773752212524,0.1410427689552307,0.04472470283508301,0.18931281566619873,0.4146644175052643
D:\Lenovo\certora\data\proctoring\raw\self_collection_v2\05_head_eye_decoupling\head_down_eyes_offscreen_down\images\WIN_20260709_22_07_58_Pro.jpg,offscreen_down,0,0,1.159753441810608,1.431037425994873,0.2816123068332672,0.1621687412261963,0.18713892996311188,0.269924521446228,0.33746588230133057,0.4639596939086914,0.5027798414230347,0.008827178739011288,0.1047108843922615,0.25716453790664673,-0.11514890193939209,-0.1963047981262207,-0.016630234196782112,0.06754136085510254,0.038820117712020874,-0.11777164041996002,0.12481025606393814,-0.020555248484015465,-0.004276706371456385,0.11777164041996002,0.12481025606393814,0.17465384304523468,-0.02497018873691559,-0.23007547855377197,-0.16253411769866943,0.3005948066711426,0.19700796902179718,0.1716035008430481,-0.02396048605442047,0.13065366446971893,0.13144582509994507,0.04190284013748169,0.3010156750679016,0.2737947702407837
